id	polarity	polarity_orig	sentence	polex	polex+targets	polex_span	polex+targets_span	target_spans	split
FT_editorial_sector_21-05-05 04 02	negative	has_medium_neg_target	Sir , Questioning the viability of energy from ocean wave and tidal resources on the basis of one developer 's decision to abandon a project is dangerous and particularly unwelcome at a time when this nascent industry is starting to see positive results .	is dangerous and particularly unwelcome at a time when this nascent industry is starting to see positive results	Questioning the viability of energy from ocean wave and tidal resources on the basis of one developer 's decision to abandon a project is dangerous and particularly unwelcome at a time when this nascent industry is starting to see positive results	(25, 42)	(2, 42)	[(2, 24)]	train
FT_editorial_sector_21-05-05 04 03	positive	has_medium_pos_target	Sir , Questioning the viability of energy from ocean wave and tidal resources on the basis of one developer 's decision to abandon a project is dangerous and particularly unwelcome at a time when this nascent industry is starting to see positive results .	nascent	nascent industry	(35, 35)	(35, 36)	[(36, 36)]	train
FT_editorial_sector_21-05-05 04 04	positive	has_medium_pos_target	Sir , Questioning the viability of energy from ocean wave and tidal resources on the basis of one developer 's decision to abandon a project is dangerous and particularly unwelcome at a time when this nascent industry is starting to see positive results .	is starting to see positive results	industry is starting to see positive results	(37, 42)	(36, 42)	[(36, 36)]	train
FT_editorial_sector_21-05-05 04 05	positive	has_high_pos_target	Sir , Questioning the viability of energy from ocean wave and tidal resources on the basis of one developer 's decision to abandon a project is dangerous and particularly unwelcome at a time when this nascent industry is starting to see positive results .	positive	positive results	(41, 41)	(41, 42)	[(42, 42)]	train
FT_editorial_sector_21-05-05 06 00	negative	has_high_neg_target	Engineering Business , the developer of the abandoned Stingray tidal energy concept , was just one of a number of devices supported by the Department of Trade and Industry in recent years .	abandoned	abandoned Stingray tidal energy concept	(7, 7)	(7, 11)	[(8, 11)]	train
FT_editorial_sector_21-05-05 06 01	positive	has_medium_pos_target	Engineering Business , the developer of the abandoned Stingray tidal energy concept , was just one of a number of devices supported by the Department of Trade and Industry in recent years .	was just one of a number of devices supported by the Department of Trade and Industry in recent years	was just one of a number of devices supported by the Department of Trade and Industry in recent years	(13, 31)	(13, 31)	[(14, 20)]	train
FT_editorial_sector_21-05-05 07 00	negative	has_high_neg_target	While the Stingray device did not prove to be financially viable , other concepts are providing results that have inspired further investment .	did not prove to be financially viable	the Stingray device did not prove to be financially viable	(4, 10)	(1, 10)	[(1, 3)]	train
FT_editorial_sector_21-05-05 07 01	positive	has_medium_pos_target	While the Stingray device did not prove to be financially viable , other concepts are providing results that have inspired further investment .	have inspired further investment	that have inspired further investment	(18, 21)	(17, 21)	[(17, 17)]	train
FT_editorial_sector_21-05-05 09 00	positive	has_medium_pos_target	A recent study carried out under the Carbon Trust 's Marine Energy Challenge estimates the tidal resource in and around the UK at 22TWh ( one Terawatt-hour is 1,000 Gigawatt hours ) per year , or roughly 6 per cent of total electricity demand .	at 22TWh ( one Terawatt-hour is 1,000 Gigawatt hours ) per year , or roughly 6 per cent of total electricity demand	the tidal resource in and around the UK at 22TWh ( one Terawatt-hour is 1,000 Gigawatt hours ) per year , or roughly 6 per cent of total electricity demand	(22, 43)	(14, 43)	[(14, 21)]	train
FT_editorial_sector_21-05-05 10 00	negative	has_medium_neg_target	Can the energy sector afford to ignore a resource that could potentially replace 25 per cent of the power produced from the UK 's existing nuclear plants ?	Can the energy sector afford to ignore	Can the energy sector afford to ignore a resource that could potentially replace 25 per cent of the power produced from the UK 's existing nuclear plants	(0, 6)	(0, 26)	[(7, 26)]	train
FT_editorial_sector_21-05-05 10 01	negative	has_medium_neg_target	Can the energy sector afford to ignore a resource that could potentially replace 25 per cent of the power produced from the UK 's existing nuclear plants ?	afford to ignore a resource that could potentially replace 25 per cent of the power produced from the UK 's existing nuclear plants ?	the energy sector afford to ignore a resource that could potentially replace 25 per cent of the power produced from the UK 's existing nuclear plants ?	(4, 27)	(1, 27)	[(1, 3)]	train
FT_editorial_sector_21-05-05 10 02	positive	has_medium_pos_target	Can the energy sector afford to ignore a resource that could potentially replace 25 per cent of the power produced from the UK 's existing nuclear plants ?	could potentially replace 25 per cent of the power produced from the UK 's existing nuclear plants	a resource that could potentially replace 25 per cent of the power produced from the UK 's existing nuclear plants	(10, 26)	(7, 26)	[(7, 9)]	train
FT_editorial_sector_21-05-05 12 00	negative	has_medium_neg_target	The level of government funding for ocean energy research , development and demonstration worldwide has been just 0.3 per cent of the total energy research and development funding over the past 30 years , in comparison to 58 per cent of spending on nuclear energy .	has been just 0.3 per cent of the total energy research and development funding over the past 30 years	The level of government funding for ocean energy research , development and demonstration worldwide has been just 0.3 per cent of the total energy research and development funding over the past 30 years	(14, 32)	(0, 32)	[(0, 13)]	train
FT_editorial_sector_21-05-05 12 01	positive	has_medium_pos_target	The level of government funding for ocean energy research , development and demonstration worldwide has been just 0.3 per cent of the total energy research and development funding over the past 30 years , in comparison to 58 per cent of spending on nuclear energy .	to 58 per cent of spending on	to 58 per cent of spending on nuclear energy	(36, 42)	(36, 44)	[(43, 44)]	train
FT_editorial_sector_21-05-05 14 00	positive	has_medium_pos_target	The UK is redressing this imbalance by announcing a Pounds 42m support fund to take concepts that have been successful in the initial R&D phase through to deployment of prototype demonstrations .	is redressing this imbalance by announcing a Pounds 42m support fund to take concepts that have been successful in the initial R&D phase through to deployment of prototype demonstrations	The UK is redressing this imbalance by announcing a Pounds 42m support fund to take concepts that have been successful in the initial R&D phase through to deployment of prototype demonstrations	(2, 30)	(0, 30)	[(0, 1)]	train
FT_editorial_sector_21-05-05 14 01	positive	has_high_pos_target	The UK is redressing this imbalance by announcing a Pounds 42m support fund to take concepts that have been successful in the initial R&D phase through to deployment of prototype demonstrations .	a Pounds 42m support fund to take concepts that have been successful in the initial R&D phase through to deployment of prototype demonstrations	a Pounds 42m support fund to take concepts that have been successful in the initial R&D phase through to deployment of prototype demonstrations	(8, 30)	(8, 30)	[(15, 24)]	train
FT_editorial_sector_21-05-05 14 02	positive	has_medium_pos_target	The UK is redressing this imbalance by announcing a Pounds 42m support fund to take concepts that have been successful in the initial R&D phase through to deployment of prototype demonstrations .	have been successful in the initial R&D phase	that have been successful in the initial R&D phase	(17, 24)	(16, 24)	[(16, 16)]	train
FT_editorial_sector_21-05-05 16 00	negative	has_high_neg_target	It is regrettable that the valid decision of one developer to abandon a concept is allowed to taint the prospects of others at this crucial juncture .	is regrettable	It is regrettable	(1, 2)	(0, 2)	[(0, 0)]	train
FT_editorial_sector_21-05-05 16 01	positive	has_medium_pos_target	It is regrettable that the valid decision of one developer to abandon a concept is allowed to taint the prospects of others at this crucial juncture .	valid	valid decision	(5, 5)	(5, 6)	[(6, 6)]	train
FT_editorial_sector_21-05-05 16 02	negative	has_high_neg_target	It is regrettable that the valid decision of one developer to abandon a concept is allowed to taint the prospects of others at this crucial juncture .	to abandon	to abandon a concept	(10, 11)	(10, 13)	[(12, 13)]	train
FT_editorial_sector_21-05-05 16 03	negative	has_medium_neg_target	It is regrettable that the valid decision of one developer to abandon a concept is allowed to taint the prospects of others at this crucial juncture .	is allowed to taint	is allowed to taint the prospects of others	(14, 17)	(14, 21)	[(18, 21)]	train
FT_other_BAT_05-05-2005 00 00	positive	has_medium_pos_target	Buoyant BAT draws the benefit from IFRS TOBACCO :	draws the benefit from	Buoyant BAT draws the benefit from	(2, 5)	(0, 5)	[(0, 1)]	dev
FT_other_BAT_05-05-2005 02 00	positive	has_medium_pos_target	New accounting rules helped British American Tobacco report a rise in first-quarter profit yesterday , despite a fall in sales , which briefly nudged the shares past the Pounds 10 mark .	helped British American Tobacco report a rise in first-quarter profit yesterday	helped British American Tobacco report a rise in first-quarter profit yesterday	(3, 13)	(3, 13)	[(4, 6)]	dev
FT_other_BAT_05-05-2005 02 01	positive	has_medium_pos_target	New accounting rules helped British American Tobacco report a rise in first-quarter profit yesterday , despite a fall in sales , which briefly nudged the shares past the Pounds 10 mark .	a rise in	a rise in first-quarter profit	(8, 10)	(8, 12)	[(11, 12)]	dev
FT_other_BAT_05-05-2005 02 02	negative	has_medium_neg_target	New accounting rules helped British American Tobacco report a rise in first-quarter profit yesterday , despite a fall in sales , which briefly nudged the shares past the Pounds 10 mark .	a fall in	a fall in sales	(16, 18)	(16, 19)	[(19, 19)]	dev
FT_other_BAT_05-05-2005 02 03	positive	has_medium_pos_target	New accounting rules helped British American Tobacco report a rise in first-quarter profit yesterday , despite a fall in sales , which briefly nudged the shares past the Pounds 10 mark .	briefly nudged the shares past the Pounds 10 mark	briefly nudged the shares past the Pounds 10 mark	(22, 30)	(22, 30)	[(24, 25)]	dev
FT_other_BAT_05-05-2005 04 00	positive	has_medium_pos_target	The group 's first set of results under the new International Financial Reporting Standards were also boosted by strong performances in Russia and Africa , which offset declines in Canada , Japan and Malaysia .	were also boosted by	The group 's first set of results under the new International Financial Reporting Standards were also boosted by	(14, 17)	(0, 17)	[(0, 13)]	dev
FT_other_BAT_05-05-2005 04 01	positive	has_medium_pos_target	The group 's first set of results under the new International Financial Reporting Standards were also boosted by strong performances in Russia and Africa , which offset declines in Canada , Japan and Malaysia .	strong	strong performances	(18, 18)	(18, 19)	[(19, 19)]	dev
FT_other_BAT_05-05-2005 04 02	positive	has_medium_pos_target	The group 's first set of results under the new International Financial Reporting Standards were also boosted by strong performances in Russia and Africa , which offset declines in Canada , Japan and Malaysia .	offset	offset declines in Canada , Japan and Malaysia	(26, 26)	(26, 33)	[(27, 33)]	dev
FT_other_BAT_05-05-2005 06 00	positive	has_high_pos_target	Underlying earnings per share exceeded many forecasts , rising by 26 per cent compared with estimated rises of about 10 per cent .	exceeded many forecasts	Underlying earnings per share exceeded many forecasts	(4, 6)	(0, 6)	[(0, 3)]	dev
FT_other_BAT_05-05-2005 06 01	positive	has_medium_pos_target	Underlying earnings per share exceeded many forecasts , rising by 26 per cent compared with estimated rises of about 10 per cent .	rising by 26 per cent compared with estimated rises of about 10 per cent	Underlying earnings per share exceeded many forecasts , rising by 26 per cent compared with estimated rises of about 10 per cent	(8, 21)	(0, 21)	[(0, 3)]	dev
FT_other_BAT_05-05-2005 08 00	positive	has_medium_pos_target	The group , which makes Kent , Dunhill and Lucky Strike cigarettes , was helped by cost reductions , a lower tax rate and the share buy-back programme .	was helped by	The group , which makes Kent , Dunhill and Lucky Strike cigarettes , was helped by	(13, 15)	(0, 15)	[(0, 11)]	dev
FT_other_BAT_05-05-2005 10 00	positive	has_medium_pos_target	BAT also benefited from changes in its distribution agreements in Italy and the Reynolds American transaction , which last year saw BAT merge its US operations with those of RJ Reynolds .	also benefited from	BAT also benefited from	(1, 3)	(0, 3)	[(0, 0)]	dev
FT_other_BAT_05-05-2005 12 00	negative	has_low_neg_target	But Jan du Plessis , chairman , cautioned that comparisons would become more difficult as the year progressed and that the current earnings growth was not indicative of the rest of year .	would become more difficult as the year progressed	comparisons would become more difficult as the year progressed	(10, 17)	(9, 17)	[(9, 9)]	dev
FT_other_BAT_05-05-2005 12 01	negative	has_low_neg_target	But Jan du Plessis , chairman , cautioned that comparisons would become more difficult as the year progressed and that the current earnings growth was not indicative of the rest of year .	the current earnings growth was not indicative of the rest of year	the current earnings growth was not indicative of the rest of year	(20, 31)	(20, 31)	[]	dev
FT_other_BAT_05-05-2005 14 00	neutral	has_target_with_unknown_polarity	Analysts predicted that growth would be closer to 10 to 12 per cent .	would be closer to 10 to 12 per cent	growth would be closer to 10 to 12 per cent	(4, 12)	(3, 12)	[(3, 3)]	dev
FT_other_BAT_05-05-2005 16 00	positive	has_medium_pos_target	The rise was , however , enough to enable BAT 's shares to breach the Pounds 10 mark for the first time .	was , however , enough to enable	was , however , enough to enable BAT 's shares	(2, 8)	(2, 11)	[(9, 11)]	dev
FT_other_BAT_05-05-2005 17 00	positive	has_low_pos_target	They later closed 21 1/2p higher at 995 1/2p .	later closed 21 1/2p higher at 995 1/2p	They later closed 21 1/2p higher at 995 1/2p	(1, 8)	(0, 8)	[(0, 0)]	dev
FT_other_BAT_05-05-2005 19 00	positive	has_medium_pos_target	During the quarter , organic volume growth rose by 0.6 per cent , reversing the trend of volume decline from others in the sector .	During the quarter , organic volume growth rose by 0.6 per cent	During the quarter , organic volume growth rose by 0.6 per cent	(0, 11)	(0, 11)	[(4, 6)]	dev
FT_other_BAT_05-05-2005 19 01	positive	has_medium_pos_target	During the quarter , organic volume growth rose by 0.6 per cent , reversing the trend of volume decline from others in the sector .	reversing the trend of volume decline from	organic volume growth rose by 0.6 per cent , reversing the trend of volume decline from	(13, 19)	(4, 19)	[(4, 6)]	dev
FT_other_BAT_05-05-2005 19 02	negative	has_medium_neg_target	During the quarter , organic volume growth rose by 0.6 per cent , reversing the trend of volume decline from others in the sector .	reversing the trend of volume decline from	organic volume growth rose by 0.6 per cent , reversing the trend of volume decline from others in the sector	(13, 19)	(4, 23)	[(20, 23)]	dev
FT_other_BAT_05-05-2005 21 00	positive	has_medium_pos_target	But Paul Adams , chief executive , said he was expecting better growth for the year as whole .	better growth for the year as whole	better growth for the year as whole	(11, 17)	(11, 17)	[(12, 12)]	dev
FT_other_BAT_05-05-2005 22 00	negative	has_high_neg_target	""" I would be very disappointed if it was n't 1 to 1.5 per cent , "" he said ."	would be very disappointed	would be very disappointed if it was n't 1 to 1.5 per cent	(2, 5)	(2, 14)	[(6, 14)]	dev
FT_other_BAT_05-05-2005 22 01	positive	has_medium_pos_target	""" I would be very disappointed if it was n't 1 to 1.5 per cent , "" he said ."	would be very disappointed if it was n't 1 to 1.5 per cent	would be very disappointed if it was n't 1 to 1.5 per cent	(2, 14)	(2, 14)	[(7, 7)]	dev
FT_other_BAT_05-05-2005 24 00	positive	has_medium_pos_target	Most of BAT 's geographic regions reported higher profits , with the exception of America Pacific , where profits fell Pounds 35m to Pounds 88m as the Canadian market continued to feel the effects of higher duty that has prompted smokers to turn away from premium brands to value cigarettes .	higher	higher profits	(7, 7)	(7, 8)	[(8, 8)]	dev
FT_other_BAT_05-05-2005 24 01	negative	has_medium_neg_target	Most of BAT 's geographic regions reported higher profits , with the exception of America Pacific , where profits fell Pounds 35m to Pounds 88m as the Canadian market continued to feel the effects of higher duty that has prompted smokers to turn away from premium brands to value cigarettes .	where profits fell Pounds 35m to Pounds 88m as the Canadian market continued to feel the effects of higher duty that has prompted smokers to turn away from premium brands to value cigarettes	where profits fell Pounds 35m to Pounds 88m as the Canadian market continued to feel the effects of higher duty that has prompted smokers to turn away from premium brands to value cigarettes	(17, 49)	(17, 49)	[(18, 18)]	dev
FT_other_BAT_05-05-2005 24 02	negative	has_medium_neg_target	Most of BAT 's geographic regions reported higher profits , with the exception of America Pacific , where profits fell Pounds 35m to Pounds 88m as the Canadian market continued to feel the effects of higher duty that has prompted smokers to turn away from premium brands to value cigarettes .	continued to feel the effects of	the Canadian market continued to feel the effects of	(29, 34)	(26, 34)	[(26, 28)]	dev
FT_other_BAT_05-05-2005 24 03	negative	has_medium_neg_target	Most of BAT 's geographic regions reported higher profits , with the exception of America Pacific , where profits fell Pounds 35m to Pounds 88m as the Canadian market continued to feel the effects of higher duty that has prompted smokers to turn away from premium brands to value cigarettes .	to turn away from premium brands to	to turn away from premium brands to	(41, 47)	(41, 47)	[(45, 46)]	dev
FT_other_BAT_05-05-2005 24 04	positive	has_medium_pos_target	Most of BAT 's geographic regions reported higher profits , with the exception of America Pacific , where profits fell Pounds 35m to Pounds 88m as the Canadian market continued to feel the effects of higher duty that has prompted smokers to turn away from premium brands to value cigarettes .	to turn away from premium brands to	to turn away from premium brands to value cigarettes	(41, 47)	(41, 49)	[(48, 49)]	dev
FT_other_BAT_05-05-2005 26 00	negative	has_medium_neg_target	In Japan , increased competition from Japan Tobacco was behind volume and profit falls .	increased	increased competition	(3, 3)	(3, 4)	[(4, 4)]	dev
FT_other_BAT_05-05-2005 26 01	positive	has_medium_pos_target	In Japan , increased competition from Japan Tobacco was behind volume and profit falls .	increased competition from	increased competition from Japan Tobacco	(3, 5)	(3, 7)	[(6, 7)]	dev
FT_other_BAT_05-05-2005 26 02	negative	has_medium_neg_target	In Japan , increased competition from Japan Tobacco was behind volume and profit falls .	falls	volume and profit falls	(13, 13)	(10, 13)	[(10, 12)]	dev
FT_other_BAT_05-05-2005 28 00	negative	has_medium_neg_target	The separation out of Reynolds American , which is now counted as an associate , also dented profits and volumes .	also dented	also dented profits and volumes	(15, 16)	(15, 19)	[(17, 19)]	dev
FT_other_BAT_05-05-2005 30 00	neutral	has_target_with_unknown_polarity	The results for the quarter were complicated by IFRS , which caused pre-tax profit to rise from Pounds 575m to Pounds 624m in the three months to March 31 , as post-tax profit from BAT 's associates were added back into the results .	were complicated by	The results for the quarter were complicated by	(5, 7)	(0, 7)	[(0, 4)]	dev
FT_other_BAT_05-05-2005 30 01	positive	has_medium_pos_target	The results for the quarter were complicated by IFRS , which caused pre-tax profit to rise from Pounds 575m to Pounds 624m in the three months to March 31 , as post-tax profit from BAT 's associates were added back into the results .	caused pre-tax profit to rise from Pounds 575m to Pounds 624m in the three months to March 31 , as post-tax profit from BAT 's associates were added back into the results	caused pre-tax profit to rise from Pounds 575m to Pounds 624m in the three months to March 31 , as post-tax profit from BAT 's associates were added back into the results	(11, 42)	(11, 42)	[(12, 13)]	dev
FT_other_BAT_05-05-2005 32 00	negative	has_medium_neg_target	Operating profit fell from Pounds 604m to Pounds 582m , and were hit by the sale of Etinera , the distribution group , and the new treatment of BAT 's 42 per cent stake in Reynolds American .	fell from Pounds 604m to Pounds 582m	Operating profit fell from Pounds 604m to Pounds 582m	(2, 8)	(0, 8)	[(0, 1)]	dev
FT_other_BAT_05-05-2005 32 01	negative	has_medium_neg_target	Operating profit fell from Pounds 604m to Pounds 582m , and were hit by the sale of Etinera , the distribution group , and the new treatment of BAT 's 42 per cent stake in Reynolds American .	were hit by	Operating profit fell from Pounds 604m to Pounds 582m , and were hit by	(11, 13)	(0, 13)	[(0, 1)]	dev
FT_other_BAT_05-05-2005 34 00	negative	has_medium_neg_target	Turnover fell from Pounds 2.6bn to Pounds 2.1bn , and earnings per share were 22 per cent higher at 20.26p ( 16.65p ) .	fell from Pounds 2.6bn to Pounds 2.1bn	Turnover fell from Pounds 2.6bn to Pounds 2.1bn	(1, 7)	(0, 7)	[(0, 0)]	dev
FT_other_BAT_05-05-2005 34 01	positive	has_medium_pos_target	Turnover fell from Pounds 2.6bn to Pounds 2.1bn , and earnings per share were 22 per cent higher at 20.26p ( 16.65p ) .	were 22 per cent higher at 20.26p ( 16.65p )	earnings per share were 22 per cent higher at 20.26p ( 16.65p )	(13, 22)	(10, 22)	[(10, 12)]	dev
FT_other_BAT_26-05-2005 02 00	positive	has_high_pos_target	British American Tobacco is to test market snus , a form of smokeless tobacco , in Sweden and South Africa using two of its biggest brands .	biggest	biggest brands	(24, 24)	(24, 25)	[(25, 25)]	train
FT_other_BAT_26-05-2005 06 00	positive	has_medium_pos_target	Similar products are popular in Sweden , with almost 20 per cent of adults using them regularly .	are popular in Sweden	Similar products are popular in Sweden	(2, 5)	(0, 5)	[(0, 1)]	train
FT_other_BAT_26-05-2005 06 01	positive	has_medium_pos_target	Similar products are popular in Sweden , with almost 20 per cent of adults using them regularly .	using them regularly	using them regularly	(14, 16)	(14, 16)	[(15, 15)]	train
FT_other_BAT_26-05-2005 07 00	positive	has_medium_pos_target	Some believe that they are behind Sweden 's low adult lung cancer rates .	are behind	are behind Sweden 's low adult lung cancer rates	(4, 5)	(4, 12)	[(6, 12)]	train
FT_other_BAT_26-05-2005 07 01	positive	has_medium_pos_target	Some believe that they are behind Sweden 's low adult lung cancer rates .	low	low adult lung cancer rates	(8, 8)	(8, 12)	[(9, 12)]	train
FT_other_BAT_26-05-2005 09 00	neutral	has_medium_other_target	The products are virtually unknown in South Africa , but BAT has a 90 per cent share of the market , making the country an ideal test base .	are virtually unknown in South Africa	The products are virtually unknown in South Africa	(2, 7)	(0, 7)	[(0, 1)]	train
FT_other_BAT_26-05-2005 09 01	positive	has_medium_pos_target	The products are virtually unknown in South Africa , but BAT has a 90 per cent share of the market , making the country an ideal test base .	ideal	ideal test base	(25, 25)	(25, 27)	[(26, 27)]	train
FT_other_BAT_26-05-2005 12 00	negative	has_medium_neg_target	Chris Proctor , head of science and regulation at BAT , said that the launch had been in response to the group listening to the concerns of public health officials about cigarettes .	the concerns of public health officials about	the concerns of public health officials about cigarettes	(24, 30)	(24, 31)	[(31, 31)]	train
FT_other_BAT_26-05-2005 15 00	positive	has_medium_pos_target	If the product proves successful after a year 's trial BAT intends rolling it out to more cities and countries .	proves successful after a year 's trial	the product proves successful after a year 's trial	(3, 9)	(1, 9)	[(1, 2)]	train
FT_other_BAT_26-05-2005 15 01	positive	has_medium_pos_target	If the product proves successful after a year 's trial BAT intends rolling it out to more cities and countries .	If the product proves successful after a year 's trial BAT intends	If the product proves successful after a year 's trial BAT intends rolling it out to more cities and countries	(0, 11)	(0, 19)	[(12, 19)]	train
FT_other_BAT_26-05-2005 17 00	negative	has_medium_neg_target	But any expansion would have to be outside of the EU , where snus are banned , except for in Sweden .	would have to be outside of the EU	any expansion would have to be outside of the EU	(3, 10)	(1, 10)	[(1, 2)]	train
FT_other_BAT_26-05-2005 17 01	negative	has_high_neg_target	But any expansion would have to be outside of the EU , where snus are banned , except for in Sweden .	where snus are banned	where snus are banned	(12, 15)	(12, 15)	[(13, 13)]	train
FT_other_BAT_26-05-2005 19 00	negative	has_high_neg_target	Mr Proctor said that while he believed that the EU 's decision to ban snus was wrong , the group had no intention of arguing for a relaxation or overturning of the ruling at this point .	's decision to ban	's decision to ban snus	(10, 13)	(10, 14)	[(14, 14)]	train
FT_other_BAT_26-05-2005 19 01	negative	has_medium_neg_target	Mr Proctor said that while he believed that the EU 's decision to ban snus was wrong , the group had no intention of arguing for a relaxation or overturning of the ruling at this point .	was wrong	the EU 's decision to ban snus was wrong	(15, 16)	(8, 16)	[(8, 14)]	train
FT_other_BAT_26-05-2005 19 02	negative	has_low_neg_target	Mr Proctor said that while he believed that the EU 's decision to ban snus was wrong , the group had no intention of arguing for a relaxation or overturning of the ruling at this point .	had no intention of arguing for a relaxation or overturning of the ruling at this point	had no intention of arguing for a relaxation or overturning of the ruling at this point	(20, 35)	(20, 35)	[(24, 32)]	train
FT_other_BAT_26-05-2005 21 00	neutral	has_target_with_unknown_polarity	However , any repeal of the ban would leave BAT ahead of the market , given the absence of other big name brands in the market .	any repeal of	any repeal of the ban	(2, 4)	(2, 6)	[(5, 6)]	train
FT_other_BAT_26-05-2005 21 01	positive	has_medium_pos_target	However , any repeal of the ban would leave BAT ahead of the market , given the absence of other big name brands in the market .	would leave BAT ahead of the market , given the absence of other big name brands in the market	would leave BAT ahead of the market , given the absence of other big name brands in the market	(7, 25)	(7, 25)	[(9, 9)]	train
FT_other_BAT_26-05-2005 23 00	positive	has_low_pos_target	Deborah Arnott , director of Action on Smoking and Health in the UK , conceded that smokeless tobacco products were less harmful than combustible products .	were less harmful than	smokeless tobacco products were less harmful than	(19, 22)	(16, 22)	[(16, 18)]	train
FT_other_BAT_26-05-2005 23 01	negative	has_medium_neg_target	Deborah Arnott , director of Action on Smoking and Health in the UK , conceded that smokeless tobacco products were less harmful than combustible products .	were less harmful than	smokeless tobacco products were less harmful than combustible products	(19, 22)	(16, 24)	[(23, 24)]	train
FT_other_BAT_26-05-2005 25 00	negative	has_medium_neg_target	"But she accused tobacco companies of using reduced harm products as a way for them to "" find a way back in from the cold "" ."	accused	accused tobacco companies	(2, 2)	(2, 4)	[(3, 4)]	train
FT_other_BAT_26-05-2005 25 01	positive	has_low_pos_target	"But she accused tobacco companies of using reduced harm products as a way for them to "" find a way back in from the cold "" ."	reduced harm	reduced harm products	(7, 8)	(7, 9)	[(9, 9)]	train
FT_other_BHP_02-05-2012 00 00	neutral	has_target_with_unknown_polarity	BHP shifts spending strategy	shifts	shifts spending strategy	(1, 1)	(1, 3)	[(2, 3)]	train
FT_other_BHP_02-05-2012 02 00	positive	has_high_pos_target	BHP Billiton , the world 's biggest mining company by market value , has moved to soothe shareholder nerves about its ambitious investment programme by saying it will match capital expenditure closely with cash flows and stagger its pipeline of large projects .	the world 's biggest mining company by market value	the world 's biggest mining company by market value	(3, 11)	(3, 11)	[(7, 8)]	train
FT_other_BHP_02-05-2012 02 01	positive	has_medium_pos_target	BHP Billiton , the world 's biggest mining company by market value , has moved to soothe shareholder nerves about its ambitious investment programme by saying it will match capital expenditure closely with cash flows and stagger its pipeline of large projects .	has moved to soothe	has moved to soothe shareholder nerves	(13, 16)	(13, 18)	[(17, 18)]	train
FT_other_BHP_02-05-2012 02 02	negative	has_low_neg_target	BHP Billiton , the world 's biggest mining company by market value , has moved to soothe shareholder nerves about its ambitious investment programme by saying it will match capital expenditure closely with cash flows and stagger its pipeline of large projects .	stagger	stagger its pipeline of large projects	(36, 36)	(36, 41)	[(38, 41)]	train
FT_other_BHP_02-05-2012 04 00	neutral	has_target_with_unknown_polarity	In a series of meeting with analysts and investors , Alberto Calderon , chief executive of aluminium , nickel and corporate development at BHP , has flagged how revised cash flow forecasts will affect the company 's investments plans , according to people who attended the briefings .	will affect	will affect the company 's investments plans	(32, 33)	(32, 38)	[(34, 38)]	train
FT_other_BHP_02-05-2012 06 00	negative	has_low_neg_target	""" The key message was that BHP will be staggering capex to match cash flow , and with expectations of cash flow having being lowered over the past 12 months due to concerns over Europe ... there is less cash available to be spent on projects , "" said Citigroup analyst Clarke Wilkins ."	will be staggering	will be staggering capex	(7, 9)	(7, 10)	[(10, 10)]	train
FT_other_BHP_02-05-2012 06 01	positive	has_high_pos_target	""" The key message was that BHP will be staggering capex to match cash flow , and with expectations of cash flow having being lowered over the past 12 months due to concerns over Europe ... there is less cash available to be spent on projects , "" said Citigroup analyst Clarke Wilkins ."	to	to match cash flow	(11, 11)	(11, 14)	[(12, 14)]	train
FT_other_BHP_02-05-2012 06 02	negative	has_medium_neg_target	""" The key message was that BHP will be staggering capex to match cash flow , and with expectations of cash flow having being lowered over the past 12 months due to concerns over Europe ... there is less cash available to be spent on projects , "" said Citigroup analyst Clarke Wilkins ."	having being lowered over the past 12 months	expectations of cash flow having being lowered over the past 12 months	(22, 29)	(18, 29)	[(18, 21)]	train
FT_other_BHP_02-05-2012 06 03	negative	has_medium_neg_target	""" The key message was that BHP will be staggering capex to match cash flow , and with expectations of cash flow having being lowered over the past 12 months due to concerns over Europe ... there is less cash available to be spent on projects , "" said Citigroup analyst Clarke Wilkins ."	to be spent on	to be spent on projects	(41, 44)	(41, 45)	[(45, 45)]	train
FT_other_BHP_02-05-2012 08 00	negative	has_high_neg_target+has_medium_neg_target	However , BHP is unlikely to bow to shareholder pressure for a share buyback .	is unlikely to bow to shareholder pressure for	is unlikely to bow to shareholder pressure for a share buyback	(3, 10)	(3, 13)	[(8, 9), (11, 13)]	train
FT_other_BHP_02-05-2012 09 00	negative	has_medium_neg_target	""" Even though capex is likely to be lower , enough projects appear to be able to meet hurdle rates to consume cash flow generated , meaning buybacks would not appear imminent , "" said Mr Wilkins ."	is likely to be lower	capex is likely to be lower	(4, 8)	(3, 8)	[(3, 3)]	train
FT_other_BHP_02-05-2012 09 01	positive	has_medium_pos_target	""" Even though capex is likely to be lower , enough projects appear to be able to meet hurdle rates to consume cash flow generated , meaning buybacks would not appear imminent , "" said Mr Wilkins ."	appear to be able to meet hurdle rates to	appear to be able to meet hurdle rates to consume cash flow generated	(12, 20)	(12, 24)	[(21, 24)]	train
FT_other_BHP_02-05-2012 12 00	positive	has_medium_pos_target	They are the expansion of BHP 's Olympic Dam copper and uranium mine in South Australia , the Port Hedland Outer Harbour project in Western Australia and the Jansen potash development in Canada .	the expansion of	the expansion of BHP 's Olympic Dam copper and uranium mine in South Australia , the Port Hedland Outer Harbour project in Western Australia and the Jansen potash development in Canada	(2, 4)	(2, 32)	[(5, 32)]	train
